Index,Date,ISRG
251,2024-12-09,10000.0
252,2024-12-10,9985.711344003555
253,2024-12-11,10087.96329961822
254,2024-12-12,10108.747828951138
255,2024-12-13,10013.362130383674
256,2024-12-16,10058.08568028614
257,2024-12-17,10116.913260665635
258,2024-12-18,9770.069869998715
259,2024-12-19,9722.562212570347
260,2024-12-20,9732.212577143451
261,2024-12-23,9783.988142284432
262,2024-12-24,9965.854472955307
263,2024-12-26,9999.443858097959
264,2024-12-27,9926.140730858808
265,2024-12-30,9779.164092669778
266,2024-12-31,9686.375610765004
267,2025-01-02,9724.790178194207
268,2025-01-03,9933.748887999363
269,2025-01-06,10065.137695524656
270,2025-01-07,9870.467641715943
271,2025-01-08,10095.75834762199
272,2025-01-10,10159.781493998766
273,2025-01-13,10016.516621620307
274,2025-01-14,10000.371516382627
275,2025-01-15,10765.504975714382
276,2025-01-16,10839.179619336159
277,2025-01-17,10998.033455050256
278,2025-01-21,11211.075447048608
